grupo,region,municipio,trabajo,actividad,cumple
Grupo 2 Zona Sur,Metro Sur,Envigado,Mantenimiento,MP - Mantenimiento Preventivo,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,PROYE - Proyecto,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,PROYE - Proyecto,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,PROYE - Proyecto,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Daños,Tipo 2,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Daños,Tipo 4,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Daños,Tipo 4,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Daños,Tipo 4,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Daños,Tipo 4,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Daños,Tipo 4,SI
Grupo 1 Zona Norte,Urabá,Necoclí,Mantenimiento,MBC - Mantenimiento Basado en Condiciones,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Daños,Tipo 4,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,PROYE - Proyecto,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,PROYE - Proyecto,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,CINME - Mantenimiento Correctivo Inmediato Daños,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,ATTER - Mantenimiento Atención a Terceros,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,CINME - Mantenimiento Correctivo Inmediato Daños,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,CPROG - Mantenimiento Correctivo Programable,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,CPROG - Mantenimiento Correctivo Programable,SI
Grupo 1 Zona Norte,Metro Norte,Girardota,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Oriente,Marinilla,Mantenimiento,MP - Mantenimiento Preventivo,SI
Grupo 1 Zona Norte,Metro Norte,Medellín,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Metro Norte,Medellín,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Metro Norte,Medellín,Movimiento de redes,Red Secundaria,SI
Grupo 1 Zona Norte,Metro Norte,Medellín,Movimiento de redes,Red Secundaria,SI
Grupo 2 Zona Sur,Occidente,Sopetrán,Daños,Tipo 3,SI
Grupo 1 Zona Norte,Metro Norte,Medellín,Movimiento de redes,Red Secundaria,SI
Grupo 1 Zona Norte,Metro Norte,Medellín,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Metro Norte,Medellín,Movimiento de redes,Red Secundaria,SI
Grupo 2 Zona Sur,Occidente,Urrao,Daños,Tipo 4,NO
Grupo 2 Zona Sur,Occidente,Urrao,Daños,Tipo 3,SI
Grupo 1 Zona Norte,Metro Norte,Medellín,Mantenimiento,PROYE - Proyecto,SI
Grupo 2 Zona Sur,Occidente,Caicedo,Daños,Tipo 3,SI
Grupo 1 Zona Norte,Metro Norte,Barbosa,Mantenimiento,PROYE - Proyecto,SI
Grupo 2 Zona Sur,Occidente,San Jerónimo,Daños,Tipo 3,SI
Grupo 1 Zona Norte,Metro Norte,Barbosa,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Metro Norte,Medellín,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Metro Norte,Medellín,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Metro Norte,Barbosa,Mantenimiento,PROYE - Proyecto,SI
Grupo 2 Zona Sur,Occidente,Ebéjico,Daños,Tipo 3,NO
Grupo 1 Zona Norte,Metro Norte,Medellín,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Metro Norte,Barbosa,Mantenimiento,PROYE - Proyecto,SI
Grupo 2 Zona Sur,Occidente,Cañasgordas,Daños,Tipo 3,SI
Grupo 1 Zona Norte,Metro Norte,Barbosa,Mantenimiento,PROYE - Proyecto,SI
Grupo 2 Zona Sur,Occidente,Cañasgordas,Daños,Tipo 3,SI
Grupo 1 Zona Norte,Metro Norte,Bello,Mantenimiento,PROYE - Proyecto,SI
Grupo 2 Zona Sur,Occidente,Dabeiba,Daños,Tipo 3,NO
Grupo 1 Zona Norte,Metro Norte,Bello,Mantenimiento,ATTER - Mantenimiento Atención a Terceros,SI
Grupo 1 Zona Norte,Metro Norte,Bello,Mantenimiento,ATTER - Mantenimiento Atención a Terceros,SI
Grupo 2 Zona Sur,Occidente,Frontino,Daños,Tipo 4,SI
Grupo 1 Zona Norte,Metro Norte,Girardota,Mantenimiento,PROYE - Proyecto,SI
Grupo 2 Zona Sur,Occidente,Frontino,Daños,Tipo 4,SI
Grupo 2 Zona Sur,Occidente,Urrao,Mantenimiento,PROYE - Proyecto,NO
Grupo 2 Zona Sur,Occidente,Giraldo,Daños,Tipo 3,SI
Grupo 2 Zona Sur,Occidente,Peque,Daños,Tipo 3,SI
Grupo 2 Zona Sur,Occidente,Peque,Daños,Tipo 3,SI
Grupo 2 Zona Sur,Occidente,San Jerónimo,Mantenimiento,CPROG - Mantenimiento Correctivo Programable,SI
Grupo 2 Zona Sur,Occidente,Santa Fe de Antioquia,Daños,Tipo 4,NO
Grupo 2 Zona Sur,Occidente,Santa Fe de Antioquia,Mantenimiento,PROYE - Proyecto,NO
Grupo 2 Zona Sur,Occidente,Buriticá,Daños,Tipo 3,SI
Grupo 2 Zona Sur,Occidente,Buriticá,Daños,Tipo 3,NO
Grupo 2 Zona Sur,Occidente,Urrao,Mantenimiento,PROYE - Proyecto,NO
Grupo 2 Zona Sur,Occidente,Caicedo,Mantenimiento,PROYE - Proyecto,NO
Grupo 1 Zona Norte,Oriente,Marinilla,Mantenimiento,MP - Mantenimiento Preventivo,NO
Grupo 2 Zona Sur,Metro Sur,Itagüí,Mantenimiento,CPROG - Mantenimiento Correctivo Programable,SI
Grupo 1 Zona Norte,Oriente,Marinilla,Mantenimiento,PROYE - Proyecto,SI
Grupo 2 Zona Sur,Occidente,Ebéjico,Mantenimiento,PROYE - Proyecto,NO
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,CPROG - Mantenimiento Correctivo Programable,SI
Grupo 1 Zona Norte,Oriente,Rionegro,Mantenimiento,CPROG - Mantenimiento Correctivo Programable,SI
Grupo 2 Zona Sur,Occidente,Ebéjico,Daños,Tipo 3,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,MBC - Mantenimiento Basado en Condiciones,SI
Grupo 2 Zona Sur,Occidente,Ebéjico,Mantenimiento,PROYE - Proyecto,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,MBC - Mantenimiento Basado en Condiciones,SI
Grupo 2 Zona Sur,Metro Sur,Itagüí,Mantenimiento,CPROG - Mantenimiento Correctivo Programable,SI
Grupo 1 Zona Norte,Oriente,Rionegro,Daños,Tipo 2,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Daños,Tipo 2,SI
Grupo 2 Zona Sur,Metro Sur,Itagüí,Mantenimiento,ATTER - Mantenimiento Atención a Terceros,SI
Grupo 2 Zona Sur,Metro Sur,La Estrella,Mantenimiento,MBC - Mantenimiento Basado en Condiciones,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,MP - Mantenimiento Preventivo,SI
Grupo 1 Zona Norte,Oriente,Rionegro,Daños,Tipo 4,SI
Grupo 1 Zona Norte,Metro Norte,Barbosa,Mantenimiento,PROYE - Proyecto,NO
Grupo 1 Zona Norte,Oriente,Marinilla,Daños,Tipo 2,SI
Grupo 1 Zona Norte,Metro Norte,Girardota,Mantenimiento,PROYE - Proyecto,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,CINME - Mantenimiento Correctivo Inmediato Daños,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,ATTER - Mantenimiento Atención a Terceros,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,CINME - Mantenimiento Correctivo Inmediato Daños,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,MP - Mantenimiento Preventivo,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Daños,Tipo 4,SI
Grupo 1 Zona Norte,Oriente,Guarne,Mantenimiento,PROYE - Proyecto,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Daños,Tipo 4,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,ATTER - Mantenimiento Atención a Terceros,SI
Grupo 1 Zona Norte,Oriente,Guarne,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Oriente,Guarne,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Oriente,Guarne,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Metro Norte,Barbosa,Mantenimiento,PROYE - Proyecto,NO
Grupo 1 Zona Norte,Oriente,Rionegro,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Metro Norte,Barbosa,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Oriente,Guarne,Daños,Tipo 3,SI
Grupo 1 Zona Norte,Oriente,El Carmen de Viboral,Daños,Tipo 3,SI
Grupo 1 Zona Norte,Oriente,Alejandría,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Metro Norte,Barbosa,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Oriente,El Retiro,Daños,Tipo 3,SI
Grupo 1 Zona Norte,Oriente,Concepción,Mantenimiento,CPROG - Mantenimiento Correctivo Programable,SI
Grupo 1 Zona Norte,Metro Norte,Medellín,Mantenimiento,CPROG - Mantenimiento Correctivo Programable,SI
Grupo 1 Zona Norte,Metro Norte,Medellín,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Oriente,San Rafael,Mantenimiento,CPROG - Mantenimiento Correctivo Programable,SI
Grupo 1 Zona Norte,Oriente,San Rafael,Mantenimiento,PROYE - Proyecto,SI
Grupo 2 Zona Sur,Occidente,Dabeiba,Daños,Tipo 3,SI
Grupo 2 Zona Sur,Occidente,Dabeiba,Daños,Tipo 3,NO
Grupo 2 Zona Sur,Occidente,Peque,Daños,Tipo 3,SI
Grupo 1 Zona Norte,Metro Norte,Medellín,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Metro Norte,Medellín,Mantenimiento,ATTER - Mantenimiento Atención a Terceros,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Daños,Tipo 4,SI
Grupo 1 Zona Norte,Metro Norte,Barbosa,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Oriente,Cocorná,Movimiento de redes,Red Primaria,NO
Grupo 1 Zona Norte,Oriente,Concepción,Mantenimiento,CINME - Mantenimiento Correctivo Inmediato Daños,SI
Grupo 1 Zona Norte,Metro Norte,Medellín,Mantenimiento,ATTER - Mantenimiento Atención a Terceros,SI
Grupo 1 Zona Norte,Oriente,Granada,Daños,Tipo 4,NO
Grupo 1 Zona Norte,Oriente,Cocorná,Daños,Tipo 4,SI
Grupo 1 Zona Norte,Oriente,San Rafael,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Metro Norte,Barbosa,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Metro Norte,Girardota,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Metro Norte,Medellín,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Metro Norte,Bello,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Oriente,Cocorná,Daños,Tipo 3,SI
Grupo 1 Zona Norte,Metro Norte,Copacabana,Mantenimiento,CINME - Mantenimiento Correctivo Inmediato Daños,SI
Grupo 1 Zona Norte,Metro Norte,Bello,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Oriente,San Luis,Daños,Tipo 4,NO
Grupo 1 Zona Norte,Metro Norte,Medellín,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Metro Norte,Medellín,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Metro Norte,Barbosa,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Metro Norte,Medellín,Mantenimiento,ATTER - Mantenimiento Atención a Terceros,SI
Grupo 2 Zona Sur,Metro Sur,Itagüí,Mantenimiento,CPROG - Mantenimiento Correctivo Programable,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,MG - Mantenimiento General,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Daños,Tipo 4,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,ATTER - Mantenimiento Atención a Terceros,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,PROYE - Proyecto,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,MP - Mantenimiento Preventivo,SI
Grupo 1 Zona Norte,Oriente,Marinilla,Daños,Tipo 4,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,CPROG - Mantenimiento Correctivo Programable,SI
Grupo 1 Zona Norte,Oriente,Marinilla,Daños,Tipo 4,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Oriente,Marinilla,Daños,Tipo 4,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Daños,Tipo 4,SI
Grupo 1 Zona Norte,Oriente,Rionegro,Daños,Tipo 4,SI
Grupo 1 Zona Norte,Regional Norte,Don Matías,Mantenimiento,PROYE - Proyecto,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,CPROG - Mantenimiento Correctivo Programable,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,ATTER - Mantenimiento Atención a Terceros,SI
Grupo 2 Zona Sur,Occidente,Cañasgordas,Daños,Tipo 4,SI
Grupo 1 Zona Norte,Regional Norte,Bello,Movimiento de redes,Red Secundaria,SI
Grupo 1 Zona Norte,Urabá,Necoclí,Mantenimiento,MBC - Mantenimiento Basado en Condiciones,SI
Grupo 1 Zona Norte,Regional Norte,Santa Rosa de Osos,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Urabá,Necoclí,Mantenimiento,MBC - Mantenimiento Basado en Condiciones,SI
Grupo 1 Zona Norte,Regional Norte,Entrerríos,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Regional Norte,Yarumal,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Urabá,Turbo,Daños,Tipo 4,SI
Grupo 1 Zona Norte,Regional Norte,Ituango,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Regional Norte,Toledo,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Urabá,Chigorodó,Daños,Tipo 3,SI
Grupo 1 Zona Norte,Regional Norte,Ituango,Daños,Tipo 3,SI
Grupo 1 Zona Norte,Urabá,Turbo,Daños,Tipo 4,SI
Grupo 2 Zona Sur,Occidente,Anzá,Daños,Tipo 3,NO
Grupo 1 Zona Norte,Urabá,Apartadó,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Urabá,Apartadó,Daños,Tipo 3,SI
Grupo 1 Zona Norte,Urabá,Chigorodó,Daños,Tipo 3,SI
Grupo 1 Zona Norte,Urabá,Apartadó,Daños,Tipo 4,SI
Grupo 1 Zona Norte,Urabá,Turbo,Daños,Tipo 4,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,CPROG - Mantenimiento Correctivo Programable,SI
Grupo 2 Zona Sur,Nordeste y MM,Cisneros,Mantenimiento,MP - Mantenimiento Preventivo,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,CPROG - Mantenimiento Correctivo Programable,SI
Grupo 2 Zona Sur,Nordeste y MM,Vegachí,Daños,Tipo 3,SI
Grupo 2 Zona Sur,Nordeste y MM,Santo Domingo,Mantenimiento,MP - Mantenimiento Preventivo,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,CINME - Mantenimiento Correctivo Inmediato Daños,SI
Grupo 2 Zona Sur,Nordeste y MM,Vegachí,Daños,Tipo 3,SI
Grupo 2 Zona Sur,Suroeste,Fredonia,Daños,Tipo 3,SI
Grupo 2 Zona Sur,Suroeste,Amagá,Mantenimiento,MG - Mantenimiento General,SI
Grupo 2 Zona Sur,Nordeste y MM,Vegachí,Daños,Tipo 3,SI
Grupo 2 Zona Sur,Suroeste,Amagá,Mantenimiento,MG - Mantenimiento General,SI
Grupo 2 Zona Sur,Nordeste y MM,Vegachí,Daños,Tipo 3,NO
Grupo 2 Zona Sur,Nordeste y MM,Santo Domingo,Mantenimiento,MP - Mantenimiento Preventivo,SI
Grupo 2 Zona Sur,Nordeste y MM,Vegachí,Daños,Tipo 3,SI
Grupo 2 Zona Sur,Suroeste,Amagá,Daños,Tipo 3,SI
Grupo 2 Zona Sur,Occidente,Anzá,Daños,Tipo 3,NO
Grupo 2 Zona Sur,Nordeste y MM,Remedios,Mantenimiento,MP - Mantenimiento Preventivo,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,ATTER - Mantenimiento Atención a Terceros,SI
Grupo 2 Zona Sur,Nordeste y MM,Santo Domingo,Mantenimiento,MG - Mantenimiento General,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,ATTER - Mantenimiento Atención a Terceros,SI
Grupo 2 Zona Sur,Nordeste y MM,Remedios,Mantenimiento,MP - Mantenimiento Preventivo,NO
Grupo 2 Zona Sur,Nordeste y MM,Santa Rosa de Osos,Daños,Tipo 4,SI
Grupo 2 Zona Sur,Suroeste,Santa Bárbara,Mantenimiento,MG - Mantenimiento General,SI
Grupo 2 Zona Sur,Nordeste y MM,San Roque,Mantenimiento,MP - Mantenimiento Preventivo,SI
Grupo 2 Zona Sur,Suroeste,Betania,Mantenimiento,PROYE - Proyecto,SI
Grupo 2 Zona Sur,Suroeste,Santa Bárbara,Mantenimiento,MG - Mantenimiento General,SI
Grupo 2 Zona Sur,Nordeste y MM,San Roque,Mantenimiento,MP - Mantenimiento Preventivo,NO
Grupo 2 Zona Sur,Nordeste y MM,Remedios,Daños,Tipo 3,SI
Grupo 2 Zona Sur,Occidente,Caicedo,Daños,Tipo 3,SI
Grupo 2 Zona Sur,Suroeste,Fredonia,Daños,Tipo 3,SI
Grupo 2 Zona Sur,Nordeste y MM,Remedios,Mantenimiento,MP - Mantenimiento Preventivo,SI
Grupo 2 Zona Sur,Suroeste,Betania,Mantenimiento,PROYE - Proyecto,SI
Grupo 2 Zona Sur,Nordeste y MM,San Roque,Mantenimiento,PROYE - Proyecto,NO
Grupo 2 Zona Sur,Nordeste y MM,Segovia,Movimiento de redes,Red Secundaria,NO
Grupo 2 Zona Sur,Suroeste,Valparaíso,Mantenimiento,MG - Mantenimiento General,SI
Grupo 2 Zona Sur,Nordeste y MM,Santo Domingo,Mantenimiento,MP - Mantenimiento Preventivo,SI
Grupo 2 Zona Sur,Nordeste y MM,Segovia,Daños,Tipo 4,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Oriente,Cocorná,Daños,Tipo 3,SI
Grupo 2 Zona Sur,Suroeste,Valparaíso,Mantenimiento,PROYE - Proyecto,SI
Grupo 2 Zona Sur,Suroeste,Fredonia,Daños,Tipo 3,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Daños,Tipo 4,SI
Grupo 2 Zona Sur,Suroeste,La Pintada,Mantenimiento,MG - Mantenimiento General,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,CPROG - Mantenimiento Correctivo Programable,SI
Grupo 2 Zona Sur,Suroeste,Amagá,Mantenimiento,MG - Mantenimiento General,SI
Grupo 2 Zona Sur,Suroeste,Fredonia,Mantenimiento,MG - Mantenimiento General,SI
Grupo 2 Zona Sur,Suroeste,Venecia,Mantenimiento,MG - Mantenimiento General,SI
Grupo 1 Zona Norte,Oriente,San Carlos,Mantenimiento,CPROG - Mantenimiento Correctivo Programable,SI
Grupo 2 Zona Sur,Suroeste,Venecia,Mantenimiento,MG - Mantenimiento General,SI
Grupo 2 Zona Sur,Nordeste y MM,Segovia,Mantenimiento,MP - Mantenimiento Preventivo,SI
Grupo 2 Zona Sur,Suroeste,Amagá,Mantenimiento,PROYE - Proyecto,SI
Grupo 2 Zona Sur,Suroeste,Támesis,Mantenimiento,PROYE - Proyecto,SI
Grupo 2 Zona Sur,Suroeste,Heliconia,Mantenimiento,MG - Mantenimiento General,SI
Grupo 2 Zona Sur,Suroeste,Fredonia,Daños,Tipo 3,SI
Grupo 2 Zona Sur,Suroeste,Armenia,Mantenimiento,MG - Mantenimiento General,SI
Grupo 2 Zona Sur,Occidente,Ebéjico,Mantenimiento,PROYE - Proyecto,NO
Grupo 1 Zona Norte,Oriente,El Santuario,Daños,Tipo 4,SI
Grupo 2 Zona Sur,Suroeste,Heliconia,Mantenimiento,MG - Mantenimiento General,SI
Grupo 1 Zona Norte,Oriente,San Rafael,Mantenimiento,PROYE - Proyecto,SI
Grupo 2 Zona Sur,Suroeste,Jardín,Mantenimiento,MG - Mantenimiento General,SI
Grupo 2 Zona Sur,Suroeste,Tarso,Mantenimiento,PROYE - Proyecto,SI
Grupo 2 Zona Sur,Occidente,Ebéjico,Daños,Tipo 3,NO
Grupo 1 Zona Norte,Oriente,El Peñol,Mantenimiento,PROYE - Proyecto,SI
Grupo 2 Zona Sur,Suroeste,Jardín,Mantenimiento,MG - Mantenimiento General,SI
Grupo 2 Zona Sur,Occidente,Santa Fe de Antioquia,Mantenimiento,PROYE - Proyecto,NO
Grupo 2 Zona Sur,Suroeste,Hispania,Mantenimiento,MG - Mantenimiento General,SI
Grupo 2 Zona Sur,Suroeste,Fredonia,Mantenimiento,PROYE - Proyecto,SI
Grupo 2 Zona Sur,Occidente,Santa Fe de Antioquia,Mantenimiento,PROYE - Proyecto,NO
Grupo 1 Zona Norte,Oriente,Cocorná,Daños,Tipo 3,SI
Grupo 2 Zona Sur,Suroeste,Ciudad Bolívar,Daños,Tipo 3,SI
Grupo 2 Zona Sur,Occidente,Sopetrán,Daños,Tipo 4,NO
